controller,scenario_name,ablation_name,approval_rate_mean,approval_rate_ci_lower,approval_rate_ci_upper,default_rate_mean,default_rate_ci_lower,default_rate_ci_upper,expected_profit_mean,expected_profit_ci_lower,expected_profit_ci_upper,npv_mean,npv_ci_lower,npv_ci_upper,cumulative_reward_mean,cumulative_reward_ci_lower,cumulative_reward_ci_upper,capital_usage_mean_mean,capital_usage_mean_ci_lower,capital_usage_mean_ci_upper,reward_volatility_mean,reward_volatility_ci_lower,reward_volatility_ci_upper,stability_index_mean,stability_index_ci_lower,stability_index_ci_upper,threshold_volatility_mean,threshold_volatility_ci_lower,threshold_volatility_ci_upper
ppo__no_constraint_penalties,adverse_stress,no_constraint_penalties,0.5630066066880489,0.5585794335544777,0.5671147612367567,0.07257483221228342,0.07097852921958321,0.07418546250318249,327950.9789510393,314861.1267105214,340653.7263070553,321261.60458946956,308496.0553804487,333742.8718443784,408200.6128913577,391904.7382230899,424023.6798708011,0.5941523380120057,0.5845852875088866,0.6034939514008636,23847.250294287252,22036.872923655574,25237.981247477972,4.26748045053759e-05,4.00901044405716e-05,4.65059376510732e-05,0.0,0.0,0.0
ppo__no_constraint_penalties,base_market,no_constraint_penalties,0.5891994079504991,0.5869067592436239,0.5914277416914054,0.05585025591167172,0.0539535643343965,0.057543842449450495,400810.7529275873,392152.13417231763,409281.2173394886,393205.92842217913,384616.71571446495,401538.9120204567,499061.1136176496,488255.25940253725,509627.42907572526,0.5543030527871703,0.5475912759898667,0.5591437382845883,34438.472831931,32507.089481269308,36025.69422765756,2.9324007124817977e-05,2.798378496155833e-05,3.108788466135322e-05,0.0,0.0,0.0
ppo__no_constraint_penalties,class_imbalance_shift,no_constraint_penalties,0.5576180377088531,0.5519802331709354,0.5632264247119455,0.06247731931672234,0.060536678453200134,0.06490405210005082,365297.8925804782,351714.3597542435,377617.82603624073,358125.1473920327,344717.76928442926,370226.7230181644,454772.26429818774,437836.9888408646,470102.0567126473,0.5197737885977539,0.5118774824106986,0.5266524303587652,30144.66895941786,28329.24880023638,32131.87180789591,3.358709318154468e-05,3.157491255813366e-05,3.56392884031293e-05,0.0,0.0,0.0
ppo__no_constraint_penalties,drift,no_constraint_penalties,0.5642726184088912,0.5593432662434296,0.5690663474689104,0.06540426135789575,0.06324964872999685,0.06741526950125216,354233.9219803912,346305.48913048994,363438.5322007491,347256.89412635745,339412.61450710107,356302.20080477797,440991.19121564925,431101.73073155526,452457.489669414,0.5557798879373109,0.547482918520271,0.5630163280591045,29372.496487718254,27668.802866946044,30686.529741075006,3.432628904473833e-05,3.2639535169202475e-05,3.6627719332889e-05,0.0,0.0,0.0
ppo__no_constraint_penalties,noise,no_constraint_penalties,0.5693063960153878,0.5648353011717153,0.5740772325356194,0.053411499608131956,0.05113071530457612,0.05640775455586688,373357.2201415776,359457.8990786461,385792.12040674343,366223.2959474537,352598.85508135724,378450.76802779525,464863.42459650274,447557.9488968876,480355.16014115536,0.5225336294061003,0.5069520329855663,0.5368100963520801,31543.535943108578,29087.50929115748,33487.88019329168,3.2351226872787466e-05,3.032539288091696e-05,3.494785991742479e-05,0.0,0.0,0.0
ppo__no_constraint_penalties,split_policy_dynamics,no_constraint_penalties,0.5883308341029111,0.5848244164467322,0.5922110655373988,0.06001849250444779,0.057926592350089734,0.06253968806607717,397505.250893542,386278.8646848658,408711.6257969329,389831.5410771672,378780.7051243933,400953.2720684676,494909.42603710806,480920.1595964336,508896.63010095037,0.5708769554584899,0.5661329069783935,0.5756962224310804,32484.421120734554,31199.74891420827,33832.4996888618,3.099254807993847e-05,2.971400552677245e-05,3.224714846420841e-05,0.0,0.0,0.0
ppo__no_delayed_reward,adverse_stress,no_delayed_reward,0.5630066066880489,0.5585794335544777,0.5671147612367567,0.07257483221228342,0.07097852921958321,0.07418546250318249,327950.9789510393,314861.1267105214,340653.7263070553,321261.60458946956,308496.0553804487,333742.8718443784,512394.30518998526,499106.1085134205,523584.40923967195,0.5941523380120057,0.5845852875088866,0.6034939514008636,20831.8271201762,18850.142672300703,22247.141668264725,4.9321144092259186e-05,4.597535070267415e-05,5.5155692208083824e-05,0.0,0.0,0.0
ppo__no_delayed_reward,base_market,no_delayed_reward,0.5891994079504991,0.5869067592436239,0.5914277416914054,0.05585025591167172,0.0539535643343965,0.057543842449450495,400810.7529275873,392152.13417231763,409281.2173394886,393205.92842217913,384616.71571446495,401538.9120204567,647852.5664938018,633070.3196978607,660989.8820738206,0.5543030527871703,0.5475912759898667,0.5591437382845883,31866.53682126911,30055.46455981964,33512.08683711693,3.179678915617889e-05,3.0128701699302586e-05,3.3718902558184594e-05,0.0,0.0,0.0
ppo__no_delayed_reward,class_imbalance_shift,no_delayed_reward,0.5576180377088531,0.5519802331709354,0.5632264247119455,0.06247731931672234,0.060536678453200134,0.06490405210005082,365297.8925804782,351714.3597542435,377617.82603624073,358125.1473920327,344717.76928442926,370226.7230181644,582557.9983270625,569633.5697644147,597803.6153972803,0.5197737885977539,0.5118774824106986,0.5266524303587652,27148.2296009847,25388.650246746132,28954.563252160642,3.740570710379756e-05,3.496074740352588e-05,3.998447034496655e-05,0.0,0.0,0.0
ppo__no_delayed_reward,drift,no_delayed_reward,0.5642726184088912,0.5593432662434296,0.5690663474689104,0.06540426135789575,0.06324964872999685,0.06741526950125216,354233.9219803912,346305.48913048994,363438.5322007491,347256.89412635745,339412.61450710107,356302.20080477797,586251.5560970639,579086.050265629,593310.2308359515,0.5557798879373109,0.547482918520271,0.5630163280591045,26379.531941453155,25128.268909012368,27503.84212837211,3.813717471220347e-05,3.652507159604426e-05,3.998325565992456e-05,0.0,0.0,0.0
