controller,scenario_name,early_gap,final_gap,locally_worse_globally_better
dqn,adverse_stress,-1484.042415973715,-69015.8577656158,False
dqn,base_market,-1155.2896610180023,-104712.21192047407,False
dqn,class_imbalance_shift,3026.127142196031,-102175.24888277549,False
dqn,drift,-2389.090699462851,-106508.4694237375,False
dqn,noise,-2774.8000727032913,-82594.04839570797,False
dqn,split_policy_dynamics,-3582.9921267140344,-101769.8013168606,False
double_dqn,adverse_stress,-3525.6735280264284,-141584.87432652726,False
double_dqn,base_market,-1739.161792451655,-210153.56927195808,False
double_dqn,class_imbalance_shift,1883.4160915044097,-193379.24998798242,False
double_dqn,drift,-2761.895182865661,-199019.04544731296,False
double_dqn,noise,-2160.428461982578,-156044.61237984034,False
double_dqn,split_policy_dynamics,-4288.113647929413,-200663.84677380847,False
a3c,adverse_stress,-1596.379429675977,-85241.40816853364,False
a3c,base_market,-2551.0887161608866,-84167.73411690944,False
a3c,class_imbalance_shift,655.4416512463072,-91000.33901561314,False
a3c,drift,-711.1853461632454,-92271.86806325847,False
a3c,noise,-1687.5632992883989,-73676.87440980092,False
a3c,split_policy_dynamics,-2758.772642084841,-76174.11757397483,False
a2c,adverse_stress,-2158.186826099943,-72331.40416680055,False
a2c,base_market,-2242.88890464057,-114342.78362588992,False
a2c,class_imbalance_shift,2349.961493593967,-108351.6145900776,False
a2c,drift,-758.283766781843,-105841.0083373147,False
a2c,noise,-1466.9522048053273,-91077.45484359225,False
a2c,split_policy_dynamics,-2936.8113808494018,-94590.25576680846,False
ppo,adverse_stress,-1827.520587226517,-46856.17393536342,False
ppo,base_market,-1145.3138914068663,-83556.03483477805,False
ppo,class_imbalance_shift,2051.181289417329,-83405.15498349606,False
ppo,drift,-512.3239909991635,-82875.36689054384,False
ppo,noise,-1719.2520414905998,-70161.63084702066,False
ppo,split_policy_dynamics,-3839.0672260325746,-69710.43815861264,False
sac,adverse_stress,-780.8288311789111,-13576.43132717756,False
sac,base_market,-2125.9668867919163,2260.087929887115,True
