controller,controller_type,approval_rate_mean,approval_rate_ci_lower,approval_rate_ci_upper,default_rate_mean,default_rate_ci_lower,default_rate_ci_upper,expected_profit_mean,expected_profit_ci_lower,expected_profit_ci_upper,npv_mean,npv_ci_lower,npv_ci_upper,cumulative_reward_mean,cumulative_reward_ci_lower,cumulative_reward_ci_upper,capital_usage_mean_mean,capital_usage_mean_ci_lower,capital_usage_mean_ci_upper,reward_volatility_mean,reward_volatility_ci_lower,reward_volatility_ci_upper,stability_index_mean,stability_index_ci_lower,stability_index_ci_upper,threshold_volatility_mean,threshold_volatility_ci_lower,threshold_volatility_ci_upper,expected_profit_seed_std,cumulative_reward_seed_std
a2c,agent,0.5327367266571401,0.5209240448445942,0.5449066905972946,0.06007730599583372,0.058079290292359705,0.062056989221960825,344518.2437945564,336227.5370490985,354802.4970057363,337834.9551512034,329708.2467819346,347943.193572335,422303.88146906346,412170.05716151994,434584.90654860326,0.5269814140204638,0.5179989938481058,0.5360427326468113,28192.715958183344,26519.912131514375,30058.2709277397,3.780974245505361e-05,3.5627039398863366e-05,3.990882178977653e-05,1.7208247019325402,1.599139405251245,1.8464859026516907,44545.306573715716,53878.81195010331
a3c,agent,0.5943586318983873,0.5491147504468674,0.6318762463150459,0.06638247027932313,0.06430285544541331,0.0686787109348796,358518.60712495516,335204.6785642098,380197.24957104033,351520.9031210999,328599.3066450456,372834.24880517175,432109.37767381227,404884.95283234125,457934.64914693526,0.5668422883959323,0.5318207523724022,0.5982310283986146,31577.650482718174,28426.938520874915,34747.08269204865,3.77629411186588e-05,3.453981986527129e-05,4.0976458050293464e-05,14.569106498927376,13.982978862649937,15.170372878379215,110822.70035195748,130954.95423923364
constraint_aware_weekly,baseline,0.934122414658416,0.9268819690332925,0.9402256325911593,0.0745132214848567,0.07292662163278811,0.07616111766642442,533171.9768340257,518528.25635563117,547425.221762964,522524.7975552968,508191.9640107219,536545.6712062202,635366.162783551,617521.4647004063,653001.5898935568,0.8453357790460432,0.8345707524562247,0.8531990094576453,46857.21267826745,45093.433308602354,48930.03161249154,2.2174002858017806e-05,2.110996342845334e-05,2.3398896559121054e-05,7.684428390420264,7.470798247794321,7.87655135763062,58098.81764786444,71528.34542691351
double_dqn,agent,0.4015825596641212,0.34770378323075607,0.46034974973282866,0.06296012133218541,0.06108790145559141,0.06511692211049397,258799.79765173202,222402.10022838353,294117.45493969915,253739.27388273075,218018.53929325825,288357.92775890604,310195.1887842868,264604.05811481737,353291.80133277277,0.4070364638548055,0.3585626697371078,0.45752342523965933,22528.932113116058,19335.788068724978,25333.2167520996,6.42633780272147e-05,5.5434103362781426e-05,7.43649301443363e-05,0.0,0.0,0.0,152619.44423398608,187892.0864735667
dqn,agent,0.5618286616369047,0.5077507729954741,0.6180883753193633,0.06571786950840418,0.0635768390708107,0.06826200868616106,347811.3910654417,313628.4334921896,381089.19951849227,340986.5039696598,307495.6320504734,373623.5094056869,418898.58588957443,376900.4205712413,459593.1591010364,0.5386234141067343,0.49494983052362823,0.5850393944490598,30375.55218667586,27545.777069274565,33282.50168321369,4.449222754389682e-05,3.846355315864833e-05,5.148103837641052e-05,0.0,0.0,0.0,147667.5322840887,179867.73129810992
ppo,agent,0.5713094989953156,0.5677254041010235,0.5743360633241744,0.061634294866410144,0.059907864015754354,0.06333506649683732,369513.1974080012,360992.09223617724,378059.2697019754,362361.35927882075,353957.5271606323,370756.51672580047,452025.7024715666,441387.0182525586,462679.0011015738,0.5548797810324362,0.54861989638528,0.5616242371993132,31138.926514324034,30012.399676035733,32126.682208779945,3.318149691594493e-05,3.184109286227256e-05,3.463776816517481e-05,0.0,0.0,0.0,35399.21120302087,43762.91888742312
profit_oriented,baseline,0.9369977341271919,0.929974075802898,0.9428985401288433,0.0746637264540915,0.07299519988143079,0.07635635543247289,533735.4951238786,518779.88332127314,548411.2266287374,523073.5663085789,508359.5155683146,537511.4398619701,635860.380673976,617565.8621530215,654012.2566366269,0.8476021251096315,0.8369525008603204,0.8560897243821803,46955.013644477556,45152.26120663366,49010.4679159746,2.212810369948733e-05,2.1026546464482502e-05,2.3352316556449845e-05,7.518687660144347,7.32494338742434,7.707244019828126,58432.03588334953,72110.22873793922
risk_aware_weekly,baseline,0.6223895192235182,0.6163186562476642,0.6276385956888904,0.060864881853184255,0.059278832189775775,0.06284778848431681,403369.6520557876,392084.12421105965,412701.3809871687,395552.5521651649,384428.73152716,404741.2942962202,491332.06355752586,477682.6468076408,502646.2138938027,0.6039270449849611,0.5964869308559513,0.6122263911517326,33318.329072694716,31913.832352985755,34626.37586018567,3.116993453242561e-05,2.975215025821619e-05,3.270536788374228e-05,0.03305272079323988,0.0,0.07592481516186628,42652.54305291481,52452.04662355757
sac,agent,0.768068360196339,0.7023850964934814,0.834626581920425,0.06817917103876144,0.06510033527715012,0.07117159236269062,442123.85674807307,408744.84906646603,475811.6293061853,433401.0009289596,400783.46980118763,466363.56204341806,528920.556453537,491023.49463913,568204.2728760279,0.7162913050437646,0.6632500571374891,0.764581093400113,38302.54958514302,34836.073016907736,42012.77729605566,3.366066102826347e-05,2.9261970503269708e-05,3.786014572090556e-05,0.7908289000682154,0.6328957235496829,0.941841836073167,148965.6777239286,173897.8463507614
split_policy_static,baseline,0.6261782564935512,0.6226282427495271,0.62919534468191,0.0610069145045375,0.059383530086733353,0.06300748687560523,405528.9334443705,395045.5260198566,413238.23457402014,397672.12313986145,387332.88999197393,405260.3975175218,493823.8221871351,481039.16757578746,503422.6393188148,0.6067680995918125,0.6000066876039859,0.6143081323829078,33597.22302591529,32418.85973196164,34735.95615141673,3.0752024093625945e-05,2.958310775104763e-05,3.223364239485046e-05,0.0,0.0,0.0,39271.97469095418,48647.92572373983
