controller,controller_type,scenario_name,approval_rate_mean,approval_rate_ci_lower,approval_rate_ci_upper,default_rate_mean,default_rate_ci_lower,default_rate_ci_upper,expected_profit_mean,expected_profit_ci_lower,expected_profit_ci_upper,npv_mean,npv_ci_lower,npv_ci_upper,cumulative_reward_mean,cumulative_reward_ci_lower,cumulative_reward_ci_upper,capital_usage_mean_mean,capital_usage_mean_ci_lower,capital_usage_mean_ci_upper,reward_volatility_mean,reward_volatility_ci_lower,reward_volatility_ci_upper,stability_index_mean,stability_index_ci_lower,stability_index_ci_upper,threshold_volatility_mean,threshold_volatility_ci_lower,threshold_volatility_ci_upper,expected_profit_seed_std,cumulative_reward_seed_std
constraint_aware_weekly,baseline,adverse_stress,0.23902996316191147,0.23287847243858928,0.24627495655180215,0.11955773206802166,0.11407802272081007,0.12406368994977317,27071.092989777466,18513.57394031933,36767.10124208821,26051.93006430194,17658.259081943503,35513.650859110014,23051.346890146157,12278.82922306116,35151.94767416187,0.3304907847566811,0.3211694208688723,0.3388040303350015,7018.889480963801,6568.345981828251,7444.020629618943,0.0001443624319544564,0.00013573151811868968,0.000153950958740509,7.838621681889808,7.185723689817303,8.642902517457665,16286.302265019958,20462.285033226068
constraint_aware_weekly,baseline,base_market,0.4205968376379856,0.41227513799468113,0.4293476232517436,0.1161473802607506,0.11248471607035775,0.11903429247732153,85434.21412187879,75990.24231283819,100743.34813378919,83042.38612705773,73774.70296861666,98006.4630304386,101835.6807330338,89882.11909166319,120893.77761543196,0.43881892625474417,0.42706857073305626,0.44855162604626836,11328.325936184337,10204.766043999025,12390.530292117719,9.112773374536339e-05,8.232652156768293e-05,0.00010193208948333041,10.39055677281533,9.768281562578668,10.981424276302933,23496.79044709356,29432.989706102282
constraint_aware_weekly,baseline,class_imbalance_shift,0.322539481230165,0.31819131569521686,0.32677210545017654,0.11788667269688924,0.1131923469111127,0.12393755903385349,70649.2908114616,55336.44627851507,84904.11778042273,68641.63700932734,53608.98605197817,82556.27958116881,81420.57931726747,61772.25676221257,99103.4241484391,0.35140844457991927,0.3472573475222405,0.35588631629883966,9442.589007098166,8610.96911454523,10471.506554034137,0.0001102665414296481,9.790677014585068e-05,0.00012430237153471366,9.925191549161811,9.397386230894378,10.464337150373476,27665.79304451107,34829.60673406015
constraint_aware_weekly,baseline,drift,0.34752525501348136,0.3423525763364258,0.3529455663383532,0.1195506977400439,0.11582090463568431,0.12391603609669012,56567.26425773374,44979.032049829744,67133.9409817396,54737.37763552429,43379.80935089829,65180.975588170426,64786.08385772226,50099.960853888595,78070.52601367222,0.3936638069986346,0.3865739808399821,0.39972056365776637,9520.090088683026,8870.496091834875,10303.629276131433,0.00010730006885893721,9.85112159693266e-05,0.00011491269049869269,9.66621143822636,9.201408565388999,10.152873714193516,21726.590826634896,27312.10073697179
constraint_aware_weekly,baseline,noise,0.4308129016499392,0.4213277810151934,0.440735797966481,0.11667100989077846,0.11331159930748663,0.12026328513897126,93743.03058699287,76713.32187402617,108445.30989245624,91311.63994952595,74635.93015431767,105647.0759230524,112099.07734491567,91037.48685985502,130357.6061427817,0.43154184362619713,0.41660401846089823,0.444623439966879,13685.839611565587,12124.293399731212,15428.213069567048,7.740310451592523e-05,6.844869913693962e-05,8.71847282591885e-05,10.450832974458015,9.790431507021994,11.217472012076408,34980.62784589282,43087.86206879553
constraint_aware_weekly,baseline,split_policy_dynamics,0.41546652752092283,0.4116176180058435,0.4195438362098264,0.1098080774233987,0.10480517740044665,0.11388993411592085,119966.1658770219,103480.03272395376,137329.72449350267,116976.65381575904,100724.95947788208,134006.26231071042,144811.72438410248,124489.52248227556,166694.82683696397,0.4487522393198629,0.4419156029709252,0.4563186304724145,14032.86573965166,12057.877277607964,15871.020832614135,7.56421097218528e-05,6.639730045436016e-05,8.850977932344923e-05,9.32788603724239,9.008809131590793,9.63471240696025,34938.10249195497,43427.955202417375
double_dqn,agent,adverse_stress,0.3487633843206887,0.2981751284313683,0.3977089194557979,0.14096186042237888,0.13319798120950702,0.14684632074524984,-9045.140632313442,-26676.399534208125,9080.278215008897,-9956.64034384777,-27471.798739774247,7875.421857336922,-19004.32428015763,-40789.06922382464,4264.346089107776,0.4230148961530776,0.3700275369313295,0.47766706198363823,9498.251002044883,8515.955515285686,10478.080323051787,0.0001103163514478061,9.696648533297874e-05,0.0001247099982301904,0.0,0.0,0.0,34597.11039619793,43419.98243763152
double_dqn,agent,base_market,0.35271327494623633,0.2957033441981069,0.40897487829512646,0.11560329933631656,0.10990605810578001,0.12084553130341534,78741.63749710687,64984.22332754521,91759.64287016226,76595.30975952103,62978.52409218559,89123.8279105226,91757.36124651134,75005.33733841214,109383.51548067319,0.38017587982134965,0.33269850829557396,0.42828586967452226,11616.379651865305,9870.513106042366,13422.71337401502,9.569434644132831e-05,8.019997539606243e-05,0.00011009796558219234,0.0,0.0,0.0,30050.525655761532,38112.98171443617
double_dqn,agent,class_imbalance_shift,0.30519351422347557,0.2600801066626705,0.3540589626014354,0.12167050119288221,0.11593947124052735,0.1264599511747786,55843.642918391655,44325.70782115571,69008.53848937228,54215.05225592127,43027.41157956598,67013.01327388581,62048.055831023645,46379.51869522761,80519.42104688645,0.32883467088143026,0.28723514553138485,0.37165658007520713,8487.713574995832,7320.890498829393,9552.116906824842,0.00012875906579967034,0.00010952009715046448,0.00015376489730658515,0.0,0.0,0.0,23988.087975657116,32080.827637012713
double_dqn,agent,drift,0.3400674622503225,0.2844027031500561,0.39501512505117414,0.12647147590964405,0.12023246627888762,0.13277142650777732,37516.43574653833,22158.762412887463,51845.271455054986,35869.941680748096,20752.31058638929,50094.07391789083,39891.54961979918,20861.87467020112,58536.88424930712,0.3892447679734807,0.3379572589373952,0.43719796822469564,8010.405242172926,6719.987972027142,9077.176798366281,0.0001345722891962461,0.00011740425885557977,0.00015560486536541973,0.0,0.0,0.0,26078.983606202368,32923.1656782202
