controller,scenario_name,interactive_week,cumulative_profit_mean,cumulative_profit_ci_lower,cumulative_profit_ci_upper
a2c,adverse_stress,0,0.0,0.0,0.0
a2c,adverse_stress,1,0.0,0.0,0.0
a2c,adverse_stress,2,0.0,0.0,0.0
a2c,adverse_stress,3,0.0,0.0,0.0
a2c,adverse_stress,4,-47.72835074604537,-659.3562716083196,475.8925482542595
a2c,adverse_stress,5,570.8229973854284,-1155.9614669590633,2425.51727761845
a2c,adverse_stress,6,3688.1207852866587,1666.5935406271262,5762.384717560308
a2c,adverse_stress,7,6740.561619733453,4057.030686705357,8844.471691359327
a2c,adverse_stress,8,16087.977660443294,11853.793438268034,19743.171431835664
a2c,adverse_stress,9,26958.423313065006,20806.424673858965,32176.026537770464
a2c,adverse_stress,10,34930.379528656056,29194.47883349875,39126.14636408198
a2c,adverse_stress,11,46581.002885750706,38738.71170443899,52299.44353177757
a2c,adverse_stress,12,63650.290194348636,55577.493398464336,71278.8634977741
a2c,adverse_stress,13,80037.4655288031,71212.50350741697,88452.20884061605
a2c,adverse_stress,14,94403.1110930351,84260.97271466289,104342.55416292133
a2c,adverse_stress,15,108692.11376466462,97002.08111635318,119710.70542868946
a2c,adverse_stress,16,124222.38791533682,111701.21439540188,134105.98636577144
a2c,adverse_stress,17,137955.90377461983,126710.3211391,147303.67480929464
a2c,adverse_stress,18,147331.89940529558,135005.47277481586,157136.32790052137
a2c,adverse_stress,19,160832.16006219224,144489.10308624315,174427.05734169186
a2c,adverse_stress,20,171946.2038489881,157169.25065394182,183474.91704110432
a2c,adverse_stress,21,182906.25382744815,166674.35902010894,195510.7711761101
a2c,adverse_stress,22,195434.58409796216,178882.88900270214,207774.18030194775
a2c,adverse_stress,23,203499.1738470233,186115.4889917563,215933.3492411144
a2c,adverse_stress,24,212309.22446003408,192856.39613125418,225842.42370979258
a2c,adverse_stress,25,300022.18132068025,283560.95480495936,312856.0835535268
a2c,base_market,0,0.0,0.0,0.0
a2c,base_market,1,0.0,0.0,0.0
a2c,base_market,2,0.0,0.0,0.0
a2c,base_market,3,0.0,0.0,0.0
a2c,base_market,4,455.654389728322,-359.07891167203775,1097.0781342140613
a2c,base_market,5,1154.1766688556688,-726.8786917388024,2942.3314289212976
a2c,base_market,6,2486.1936111997584,-1174.1039779314801,5691.425187610968
a2c,base_market,7,8369.202690000962,5014.106344669262,11380.917751353083
a2c,base_market,8,14649.6493276353,11540.543953217735,18339.28668614651
a2c,base_market,9,22263.132180897082,19281.007155454405,24997.950604941158
a2c,base_market,10,32979.98738653564,30302.10605651163,35809.28454368819
a2c,base_market,11,44391.79735823284,38656.62476578467,50896.21344232467
a2c,base_market,12,59709.64654794576,53261.8950196658,66938.87208693416
a2c,base_market,13,75429.2586231588,68504.45705603514,82521.64183054172
