controller,controller_type,scenario_name,approval_rate_mean,approval_rate_ci_lower,approval_rate_ci_upper,default_rate_mean,default_rate_ci_lower,default_rate_ci_upper,expected_profit_mean,expected_profit_ci_lower,expected_profit_ci_upper,npv_mean,npv_ci_lower,npv_ci_upper,cumulative_reward_mean,cumulative_reward_ci_lower,cumulative_reward_ci_upper,capital_usage_mean_mean,capital_usage_mean_ci_lower,capital_usage_mean_ci_upper,reward_volatility_mean,reward_volatility_ci_lower,reward_volatility_ci_upper,stability_index_mean,stability_index_ci_lower,stability_index_ci_upper,threshold_volatility_mean,threshold_volatility_ci_lower,threshold_volatility_ci_upper,expected_profit_seed_std,cumulative_reward_seed_std
constraint_aware_weekly,baseline,adverse_stress,0.23902996316191147,0.23287847243858928,0.24627495655180215,0.11955773206802166,0.11407802272081007,0.12406368994977317,27071.092989777466,18513.57394031933,36767.10124208821,26051.93006430194,17658.259081943503,35513.650859110014,23051.346890146157,12278.82922306116,35151.94767416187,0.3304907847566811,0.3211694208688723,0.3388040303350015,7018.889480963801,6568.345981828251,7444.020629618943,0.0001443624319544564,0.00013573151811868968,0.000153950958740509,7.838621681889808,7.185723689817303,8.642902517457665,16286.302265019958,20462.285033226068
constraint_aware_weekly,baseline,base_market,0.4205968376379856,0.41227513799468113,0.4293476232517436,0.1161473802607506,0.11248471607035775,0.11903429247732153,85434.21412187879,75990.24231283819,100743.34813378919,83042.38612705773,73774.70296861666,98006.4630304386,101835.6807330338,89882.11909166319,120893.77761543196,0.43881892625474417,0.42706857073305626,0.44855162604626836,11328.325936184337,10204.766043999025,12390.530292117719,9.112773374536339e-05,8.232652156768293e-05,0.00010193208948333041,10.39055677281533,9.768281562578668,10.981424276302933,23496.79044709356,29432.989706102282
constraint_aware_weekly,baseline,class_imbalance_shift,0.322539481230165,0.31819131569521686,0.32677210545017654,0.11788667269688924,0.1131923469111127,0.12393755903385349,70649.2908114616,55336.44627851507,84904.11778042273,68641.63700932734,53608.98605197817,82556.27958116881,81420.57931726747,61772.25676221257,99103.4241484391,0.35140844457991927,0.3472573475222405,0.35588631629883966,9442.589007098166,8610.96911454523,10471.506554034137,0.0001102665414296481,9.790677014585068e-05,0.00012430237153471366,9.925191549161811,9.397386230894378,10.464337150373476,27665.79304451107,34829.60673406015
constraint_aware_weekly,baseline,drift,0.34752525501348136,0.3423525763364258,0.3529455663383532,0.1195506977400439,0.11582090463568431,0.12391603609669012,56567.26425773374,44979.032049829744,67133.9409817396,54737.37763552429,43379.80935089829,65180.975588170426,64786.08385772226,50099.960853888595,78070.52601367222,0.3936638069986346,0.3865739808399821,0.39972056365776637,9520.090088683026,8870.496091834875,10303.629276131433,0.00010730006885893721,9.85112159693266e-05,0.00011491269049869269,9.66621143822636,9.201408565388999,10.152873714193516,21726.590826634896,27312.10073697179
constraint_aware_weekly,baseline,noise,0.4308129016499392,0.4213277810151934,0.440735797966481,0.11667100989077846,0.11331159930748663,0.12026328513897126,93743.03058699287,76713.32187402617,108445.30989245624,91311.63994952595,74635.93015431767,105647.0759230524,112099.07734491567,91037.48685985502,130357.6061427817,0.43154184362619713,0.41660401846089823,0.444623439966879,13685.839611565587,12124.293399731212,15428.213069567048,7.740310451592523e-05,6.844869913693962e-05,8.71847282591885e-05,10.450832974458015,9.790431507021994,11.217472012076408,34980.62784589282,43087.86206879553
constraint_aware_weekly,baseline,split_policy_dynamics,0.41546652752092283,0.4116176180058435,0.4195438362098264,0.1098080774233987,0.10480517740044665,0.11388993411592085,119966.1658770219,103480.03272395376,137329.72449350267,116976.65381575904,100724.95947788208,134006.26231071042,144811.72438410248,124489.52248227556,166694.82683696397,0.4487522393198629,0.4419156029709252,0.4563186304724145,14032.86573965166,12057.877277607964,15871.020832614135,7.56421097218528e-05,6.639730045436016e-05,8.850977932344923e-05,9.32788603724239,9.008809131590793,9.63471240696025,34938.10249195497,43427.955202417375
double_dqn,agent,adverse_stress,0.4077660677875788,0.35903764505491453,0.46271832873857255,0.14770026485666163,0.14164537108946304,0.15499475242116947,-33058.11893918764,-59302.55913348214,-8830.921970742269,-33656.07169358407,-59590.806530175716,-9678.206907132677,-48368.22741087113,-82499.81572114264,-17269.629478180235,0.47306965954777885,0.4271317039264773,0.5321392180103411,10519.65902270797,8941.182264017953,12876.378152125906,0.00010745025474215624,8.782228397952964e-05,0.00012328986299213948,0.0,0.0,0.0,47893.163258664455,61850.305393146606
double_dqn,agent,base_market,0.4230317613432338,0.37058249386028963,0.4763332212615881,0.1202195359175431,0.11442529247056689,0.12782275548850414,86747.36448423873,69343.20044479996,103049.25131472058,84357.77728759167,67280.93884824109,100396.54615475785,102434.84456292809,80457.87319713164,122992.20757858262,0.43391936678725146,0.3928808655631687,0.47487074950849123,12807.553090920583,10817.72725106173,14715.285742633565,8.708222434395101e-05,7.178332908610192e-05,0.00010578599304028713,0.0,0.0,0.0,34060.61527156538,42890.17288671024
double_dqn,agent,class_imbalance_shift,0.37530332838545544,0.3285093836211652,0.4254965416260039,0.12881319121615722,0.11999777031073798,0.13623935662469408,52426.10675031113,39119.33881312928,67565.83194613458,50687.13416550166,37440.35630495904,65480.65594841799,58912.26751106506,42068.74152276483,77814.25746703261,0.38231464248373737,0.3417815320956789,0.4308678998327503,9418.213941282047,7882.012624950814,11321.525149703004,0.00011711155322881204,9.855508414279922e-05,0.00013294181871563714,0.0,0.0,0.0,26193.656589389822,32742.20917361016
double_dqn,agent,drift,0.4060459634470713,0.3546794431398195,0.458561762054871,0.13316493779636715,0.1263882257404991,0.13970059532261073,41410.542430763795,31608.853276830254,54011.93780390246,39472.225104204816,29842.18693534845,51863.867236713006,45282.65966509727,32632.907305519424,61068.838698759326,0.4431417151097619,0.40278516626576283,0.48744961250919266,9228.026651122449,8243.565218883014,10445.691581003031,0.00011302464974296908,0.00010022432352248255,0.00012384792635983263,0.0,0.0,0.0,27524.53079239173,35119.06534673557
